bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
KI16,inner,3,real fatigue pitting,N15_M01_F10,34.759910339360346,1.0,30.651463611850915,37.14004936034992,324
KI16,inner,3,real fatigue pitting,N15_M07_F04,15.574717973800071,1.0,12.457807526620163,19.193437553516667,321
KI17,inner,1,real fatigue pitting,all,12.400860725049561,0.9945440374123149,7.8775974289966815,15.472047807447302,1283
KI17,inner,1,real fatigue pitting,N15_M07_F10,14.57581548234973,1.0,12.1356151755453,16.576574194127854,319
KI17,inner,1,real fatigue pitting,N09_M07_F10,3.0714103220352915,0.9781931464174455,1.7200055613300973,5.171879708743672,321
KI17,inner,1,real fatigue pitting,N15_M01_F10,11.83439648817868,1.0,10.144714226223003,13.581554859521534,322
KI17,inner,1,real fatigue pitting,N15_M07_F04,15.672923419991244,1.0,13.512057597026851,17.200625728895982,321
KI18,inner,2,real fatigue pitting,all,19.09711463607829,1.0,15.647019457911375,24.673913381298952,1278
KI18,inner,2,real fatigue pitting,N15_M07_F10,19.80312509188324,1.0,18.406506782267652,21.50875910573538,320
KI18,inner,2,real fatigue pitting,N09_M07_F10,17.79895597034109,1.0,15.587446213637632,19.840802828156804,320
KI18,inner,2,real fatigue pitting,N15_M01_F10,31.642967384636957,1.0,29.330126154134852,33.76181214021244,319
KI18,inner,2,real fatigue pitting,N15_M07_F04,14.163959107951552,1.0,12.793376821303614,15.815326384773405,319
KI21,inner,1,real fatigue pitting,all,9.509295657243488,0.9069585613760751,4.4101130761136105,12.146372776295394,1279
KI21,inner,1,real fatigue pitting,N15_M07_F10,12.292283592199173,1.0,10.616007663649064,13.744357769385113,319
KI21,inner,1,real fatigue pitting,N09_M07_F10,0.3445966093646329,0.628125,-0.37518570921295025,1.3620285450379341,320
KI21,inner,1,real fatigue pitting,N15_M01_F10,11.774096662550932,1.0,10.373519111473634,13.168436772671633,320
KI21,inner,1,real fatigue pitting,N15_M07_F04,7.9056388690465305,1.0,6.848509693472078,9.355501431817219,320
